Individus,Cas SNIF,IICR,Taille,M,Echantillon,Omega,n_inf,M_inf,N0_inf
382,77,26,1x5,1,11,0.5,,,
383,77,26,1x5,1,11,0.5,,,
384,77,26,1x5,1,11,0.5,,,
385,77,26,1x5,1,11,0.5,,,
386,78,26,1x5,1,11,1,,,
387,78,26,1x5,1,11,1,,,
388,78,26,1x5,1,11,1,,,
389,78,26,1x5,1,11,1,,,
390,78,26,1x5,1,11,1,,,
391,79,27,1x5,1,12,0.3,,,
392,79,27,1x5,1,12,0.3,,,
393,79,27,1x5,1,12,0.3,,,
394,79,27,1x5,1,12,0.3,,,
395,79,27,1x5,1,12,0.3,,,
396,80,27,1x5,1,12,0.5,,,
397,80,27,1x5,1,12,0.5,,,
398,80,27,1x5,1,12,0.5,,,
399,80,27,1x5,1,12,0.5,,,
400,80,27,1x5,1,12,0.5,,,
401,81,27,1x5,1,12,1,,,
402,81,27,1x5,1,12,1,,,
403,81,27,1x5,1,12,1,,,
404,81,27,1x5,1,12,1,,,
405,81,27,1x5,1,12,1,,,
406,82,28,1x5,1,13,0.3,,,
407,82,28,1x5,1,13,0.3,,,
408,82,28,1x5,1,13,0.3,,,
409,82,28,1x5,1,13,0.3,,,
410,82,28,1x5,1,13,0.3,,,
411,83,28,1x5,1,13,0.5,,,
412,83,28,1x5,1,13,0.5,,,
413,83,28,1x5,1,13,0.5,,,
414,83,28,1x5,1,13,0.5,,,
415,83,28,1x5,1,13,0.5,,,
416,84,28,1x5,1,13,1,,,
417,84,28,1x5,1,13,1,,,
418,84,28,1x5,1,13,1,,,
419,84,28,1x5,1,13,1,,,
420,84,28,1x5,1,13,1,,,
421,85,29,1x5,5,11,0.3,,,
422,85,29,1x5,5,11,0.3,,,
423,85,29,1x5,5,11,0.3,,,
424,85,29,1x5,5,11,0.3,,,
425,85,29,1x5,5,11,0.3,,,
426,86,29,1x5,5,11,0.5,,,
427,86,29,1x5,5,11,0.5,,,
428,86,29,1x5,5,11,0.5,,,
429,86,29,1x5,5,11,0.5,,,
430,86,29,1x5,5,11,0.5,,,
431,87,29,1x5,5,11,1,,,
